Depth_Top,Assay_Num,Core_Location,Assay_Date,Temperature,Media,Photoperiod,Treatment,Media1,Media2,Temp1,Temp2,Temp3,Photo1,Photo2,Germinated,Seeds_Planted
3.75,11,2,2018,3,1,3,0,0,0,0,0,0,0,0,2,18
4,2,1,2004,1,1,1,0,0,0,1,0,0,1,0,1,3
4,3,1,2010,1,1,1,1,0,0,1,0,0,1,0,0,84
4,3,2,2010,1,1,1,0,0,0,1,0,0,1,0,2,34
4,4,4,2010,1,2,2,0,1,0,1,0,0,0,1,0,1
4,4,4,2010,2,2,1,0,1,0,0,1,0,1,0,0,2
4,4,4,2010,2,2,2,0,1,0,0,1,0,0,1,0,2
4,4,4,2010,3,2,1,0,1,0,0,0,0,1,0,1,1
4,4,4,2010,3,2,2,0,1,0,0,0,0,0,1,0,1
4,4,6,2010,1,2,2,0,1,0,1,0,0,0,1,0,1
4,4,6,2010,2,2,1,0,1,0,0,1,0,1,0,0,1
4,4,6,2010,2,2,2,0,1,0,0,1,0,0,1,0,1
4,4,6,2010,3,2,1,0,1,0,0,0,0,1,0,0,1
4,4,7,2010,1,2,1,0,1,0,1,0,0,1,0,0,8
4,4,7,2010,1,2,2,0,1,0,1,0,0,0,1,0,8
4,4,7,2010,2,2,1,0,1,0,0,1,0,1,0,2,8
4,4,7,2010,2,2,2,0,1,0,0,1,0,0,1,1,7
4,4,7,2010,3,2,1,0,1,0,0,0,0,1,0,1,8
4,4,7,2010,3,2,2,0,1,0,0,0,0,0,1,0,8
4,7,1,2013,3,2,1,0,1,0,0,0,0,1,0,4,6
4,7,1,2013,4,2,1,0,1,0,0,0,1,1,0,1,6
4,7,1,2013,4,3,1,0,0,1,0,0,1,1,0,0,5
4,8,2,2017,3,1,3,0,0,0,0,0,0,0,0,1,70
4,8,3,2017,3,1,3,0,0,0,0,0,0,0,0,0,1
4,8,7,2017,3,1,3,0,0,0,0,0,0,0,0,85,188
4,8,10,2017,3,1,3,0,0,0,0,0,0,0,0,26,117
4,13,7,2019,3,1,3,0,0,0,0,0,0,0,0,31,88
5,12,3,2018,3,1,3,0,0,0,0,0,0,0,0,5,18
5,12,10,2018,3,1,3,0,0,0,0,0,0,0,0,6,19
5.25,9,2,2017,3,1,3,0,0,0,0,0,0,0,0,3,3
5.5,11,10,2018,3,1,3,0,0,0,0,0,0,0,0,1,8
5.5,12,10,2018,3,1,3,0,0,0,0,0,0,0,0,17,40
5.75,10,2,2017,3,1,3,0,0,0,0,0,0,0,0,7,18
6,2,1,2004,1,1,1,0,0,0,1,0,0,1,0,3,7
6,3,2,2010,1,1,1,0,0,0,1,0,0,1,0,1,8
6,3,2,2010,1,1,1,1,0,0,1,0,0,1,0,0,2
6,4,4,2010,1,2,1,0,1,0,1,0,0,1,0,0,2
6,4,4,2010,1,2,2,0,1,0,1,0,0,0,1,0,1
6,4,4,2010,2,2,1,0,1,0,0,1,0,1,0,0,1
6,4,4,2010,2,2,2,0,1,0,0,1,0,0,1,0,1
6,4,4,2010,3,2,1,0,1,0,0,0,0,1,0,0,1
6,4,4,2010,3,2,2,0,1,0,0,0,0,0,1,0,1
6,4,6,2010,1,2,1,0,1,0,1,0,0,1,0,0,2
6,4,6,2010,1,2,2,0,1,0,1,0,0,0,1,0,1
6,4,6,2010,2,2,1,0,1,0,0,1,0,1,0,0,1
6,4,7,2010,1,2,1,0,1,0,1,0,0,1,0,4,10
6,4,7,2010,1,2,2,0,1,0,1,0,0,0,1,4,10
6,4,7,2010,2,2,1,0,1,0,0,1,0,1,0,2,9
6,4,7,2010,2,2,2,0,1,0,0,1,0,0,1,0,9
6,4,7,2010,3,2,1,0,1,0,0,0,0,1,0,2,9
6,4,7,2010,3,2,2,0,1,0,0,0,0,0,1,1,10
6,4,8,2010,3,2,1,0,1,0,0,0,0,1,0,1,1
6,4,8,2010,3,2,2,0,1,0,0,0,0,0,1,0,1
6,4,9,2010,1,2,1,0,1,0,1,0,0,1,0,2,4
6,4,9,2010,1,2,2,0,1,0,1,0,0,0,1,1,4
6,4,9,2010,2,2,1,0,1,0,0,1,0,1,0,0,4
6,4,9,2010,2,2,2,0,1,0,0,1,0,0,1,1,5
6,4,9,2010,3,2,1,0,1,0,0,0,0,1,0,0,2
6,4,9,2010,3,2,2,0,1,0,0,0,0,0,1,1,2
6,7,1,2013,3,2,1,0,1,0,0,0,0,1,0,4,6
6,7,1,2013,4,2,1,0,1,0,0,0,1,1,0,1,6
6,7,1,2013,4,3,1,0,0,1,0,0,1,1,0,0,6
6,8,2,2017,3,1,3,0,0,0,0,0,0,0,0,0,47
6,8,7,2017,3,1,3,0,0,0,0,0,0,0,0,13,59
6,8,10,2017,3,1,3,0,0,0,0,0,0,0,0,14,71
6,13,7,2019,3,1,3,0,0,0,0,0,0,0,0,10,76
6.25,11,1,2018,3,1,3,0,0,0,0,0,0,0,0,3,18
6.25,12,1,2018,3,1,3,0,0,0,0,0,0,0,0,3,18
6.75,11,3,2018,3,1,3,0,0,0,0,0,0,0,0,0,3
6.75,12,3,2018,3,1,3,0,0,0,0,0,0,0,0,0,3
6.75,12,10,2018,3,1,3,0,0,0,0,0,0,0,0,3,24
7,12,3,2018,3,1,3,0,0,0,0,0,0,0,0,1,3
7.25,10,10,2017,3,1,3,0,0,0,0,0,0,0,0,1,18
7.25,11,10,2018,3,1,3,0,0,0,0,0,0,0,0,1,3
7.5,10,3,2017,3,1,3,0,0,0,0,0,0,0,0,6,18
7.75,10,2,2017,3,1,3,0,0,0,0,0,0,0,0,1,18
7.75,11,2,2018,3,1,3,0,0,0,0,0,0,0,0,1,16
8,1,1,2003,1,1,1,0,0,0,1,0,0,1,0,25,55
8,2,1,2004,1,1,1,0,0,0,1,0,0,1,0,35,202
8,3,2,2010,1,1,1,0,0,0,1,0,0,1,0,0,22
8,4,4,2010,1,2,1,0,1,0,1,0,0,1,0,0,1
8,4,4,2010,1,2,2,0,1,0,1,0,0,0,1,0,1
8,4,4,2010,2,2,1,0,1,0,0,1,0,1,0,2,2
8,4,4,2010,2,2,2,0,1,0,0,1,0,0,1,0,2
8,4,4,2010,3,2,1,0,1,0,0,0,0,1,0,1,3
8,4,4,2010,3,2,2,0,1,0,0,0,0,0,1,1,2
8,4,5,2010,3,2,1,0,1,0,0,0,0,1,0,1,1
8,4,5,2010,3,2,2,0,1,0,0,0,0,0,1,0,1
8,4,6,2010,2,2,1,0,1,0,0,1,0,1,0,1,1
8,4,6,2010,3,2,1,0,1,0,0,0,0,1,0,0,1
8,4,6,2010,3,2,2,0,1,0,0,0,0,0,1,0,1
8,8,2,2017,3,1,3,0,0,0,0,0,0,0,0,0,79
8,8,7,2017,3,1,3,0,0,0,0,0,0,0,0,42,207
8,8,10,2017,3,1,3,0,0,0,0,0,0,0,0,5,37
8,12,7,2018,3,1,3,0,0,0,0,0,0,0,0,0,24
8,13,7,2019,3,1,3,0,0,0,0,0,0,0,0,4,31
8.75,11,3,2018,3,1,3,0,0,0,0,0,0,0,0,2,4
8.75,12,1,2018,3,1,3,0,0,0,0,0,0,0,0,1,24
9,10,3,2017,3,1,3,0,0,0,0,0,0,0,0,0,1
9,10,10,2017,3,1,3,0,0,0,0,0,0,0,0,1,18
9,11,3,2018,3,1,3,0,0,0,0,0,0,0,0,0,1
9,11,10,2018,3,1,3,0,0,0,0,0,0,0,0,2,18
9.25,12,10,2018,3,1,3,0,0,0,0,0,0,0,0,2,24
9.5,9,2,2017,3,1,3,0,0,0,0,0,0,0,0,1,6
9.75,12,3,2018,3,1,3,0,0,0,0,0,0,0,0,0,1
10,2,1,2004,1,1,1,0,0,0,1,0,0,1,0,34,87
10,3,2,2010,1,1,1,0,0,0,1,0,0,1,0,0,16
10,3,3,2010,1,1,1,0,0,0,1,0,0,1,0,3,14
10,4,4,2010,1,2,1,0,1,0,1,0,0,1,0,0,3
10,4,4,2010,1,2,2,0,1,0,1,0,0,0,1,0,3
10,4,4,2010,2,2,1,0,1,0,0,1,0,1,0,0,2
10,4,4,2010,2,2,2,0,1,0,0,1,0,0,1,0,2
10,4,4,2010,3,2,1,0,1,0,0,0,0,1,0,0,1
10,4,4,2010,3,2,2,0,1,0,0,0,0,0,1,0,1
10,4,7,2010,1,2,1,0,1,0,1,0,0,1,0,3,8
10,4,7,2010,1,2,2,0,1,0,1,0,0,0,1,3,8
10,4,7,2010,2,2,1,0,1,0,0,1,0,1,0,0,7
10,4,7,2010,2,2,2,0,1,0,0,1,0,0,1,2,7
10,4,7,2010,3,2,1,0,1,0,0,0,0,1,0,2,6
10,4,7,2010,3,2,2,0,1,0,0,0,0,0,1,2,7
10,4,8,2010,1,2,1,0,1,0,1,0,0,1,0,0,1
10,4,8,2010,1,2,2,0,1,0,1,0,0,0,1,0,1
10,4,9,2010,1,2,1,0,1,0,1,0,0,1,0,0,1
10,4,9,2010,1,2,2,0,1,0,1,0,0,0,1,0,1
10,8,2,2017,3,1,3,0,0,0,0,0,0,0,0,0,82
10,8,7,2017,3,1,3,0,0,0,0,0,0,0,0,14,172
10,8,10,2017,3,1,3,0,0,0,0,0,0,0,0,3,64
10,12,7,2018,3,1,3,0,0,0,0,0,0,0,0,0,36
10,13,7,2019,3,1,3,0,0,0,0,0,0,0,0,0,7
10.25,10,2,2017,3,1,3,0,0,0,0,0,0,0,0,1,18
10.25,11,2,2018,3,1,3,0,0,0,0,0,0,0,0,1,18
11,11,3,2018,3,1,3,0,0,0,0,0,0,0,0,1,6
11,12,3,2018,3,1,3,0,0,0,0,0,0,0,0,1,9
11.25,12,10,2018,3,1,3,0,0,0,0,0,0,0,0,0,10
12,2,1,2004,1,1,1,0,0,0,1,0,0,1,0,41,187
12,3,1,2010,1,1,1,1,0,0,1,0,0,1,0,2,59
12,3,2,2010,1,1,1,0,0,0,1,0,0,1,0,0,5
12,3,3,2010,1,1,1,0,0,0,1,0,0,1,0,1,6
12,4,4,2010,1,2,1,0,1,0,1,0,0,1,0,0,7
12,4,4,2010,1,2,2,0,1,0,1,0,0,0,1,0,6
12,4,4,2010,2,2,1,0,1,0,0,1,0,1,0,0,7
12,4,4,2010,2,2,2,0,1,0,0,1,0,0,1,0,7
12,4,4,2010,3,2,1,0,1,0,0,0,0,1,0,0,7
12,4,4,2010,3,2,2,0,1,0,0,0,0,0,1,0,7
12,5,7,2012,3,2,1,0,1,0,0,0,0,1,0,0,1
12,7,1,2013,3,2,1,0,1,0,0,0,0,1,0,5,8
12,7,1,2013,4,2,1,0,1,0,0,0,1,1,0,2,8
12,7,1,2013,4,3,1,0,0,1,0,0,1,1,0,0,6
12,8,2,2017,3,1,3,0,0,0,0,0,0,0,0,0,59
12,8,10,2017,3,1,3,0,0,0,0,0,0,0,0,0,33
12,10,3,2017,3,1,3,0,0,0,0,0,0,0,0,0,12
12,11,3,2018,3,1,3,0,0,0,0,0,0,0,0,0,4
12,12,7,2018,3,1,3,0,0,0,0,0,0,0,0,0,36
12,13,7,2019,3,1,3,0,0,0,0,0,0,0,0,0,7
12.75,10,2,2017,3,1,3,0,0,0,0,0,0,0,0,1,18
12.75,11,2,2018,3,1,3,0,0,0,0,0,0,0,0,1,18
13,12,3,2018,3,1,3,0,0,0,0,0,0,0,0,1,3
13.25,8,10,2017,3,1,3,0,0,0,0,0,0,0,0,3,10
13.25,12,10,2018,3,1,3,0,0,0,0,0,0,0,0,3,11
14,1,1,2003,1,1,1,0,0,0,1,0,0,1,0,3,55
14,2,1,2004,1,1,1,0,0,0,1,0,0,1,0,5,282
14,3,1,2010,1,1,1,1,0,0,1,0,0,1,0,2,87
14,3,2,2010,1,1,1,0,0,0,1,0,0,1,0,0,6
14,7,1,2013,3,2,1,0,1,0,0,0,0,1,0,0,5
14,7,1,2013,4,2,1,0,1,0,0,0,1,1,0,1,5
14,7,1,2013,4,3,1,0,0,1,0,0,1,1,0,0,5
14,8,2,2017,3,1,3,0,0,0,0,0,0,0,0,0,77
14,8,3,2017,3,1,3,0,0,0,0,0,0,0,0,0,2
14,8,10,2017,3,1,3,0,0,0,0,0,0,0,0,1,28
14,13,7,2019,3,1,3,0,0,0,0,0,0,0,0,0,60
14.25,9,2,2017,3,1,3,0,0,0,0,0,0,0,0,0,7
14.25,9,3,2017,3,1,3,0,0,0,0,0,0,0,0,0,1
14.75,8,2,2017,3,1,3,0,0,0,0,0,0,0,0,2,67
15,8,2,2017,3,1,3,0,0,0,0,0,0,0,0,2,14
15,9,2,2017,3,1,3,0,0,0,0,0,0,0,0,4,9
16,2,1,2004,1,1,1,0,0,0,1,0,0,1,0,2,92
16,3,1,2010,1,1,1,1,0,0,1,0,0,1,0,0,48
16,3,2,2010,1,1,1,0,0,0,1,0,0,1,0,0,5
16,3,3,2010,1,1,1,0,0,0,1,0,0,1,0,0,3
16,4,4,2010,1,2,1,0,1,0,1,0,0,1,0,0,5
16,4,4,2010,1,2,2,0,1,0,1,0,0,0,1,0,5
16,4,4,2010,2,2,1,0,1,0,0,1,0,1,0,0,6
16,4,4,2010,2,2,2,0,1,0,0,1,0,0,1,0,5
16,4,4,2010,3,2,1,0,1,0,0,0,0,1,0,1,6
16,4,4,2010,3,2,2,0,1,0,0,0,0,0,1,1,6
16,5,5,2012,3,2,1,0,1,0,0,0,0,1,0,1,2
16,5,8,2012,3,2,1,0,1,0,0,0,0,1,0,0,1
16,8,2,2017,3,1,3,0,0,0,0,0,0,0,0,0,82
16,8,3,2017,3,1,3,0,0,0,0,0,0,0,0,0,2
16,8,10,2017,3,1,3,0,0,0,0,0,0,0,0,1,10
16,12,7,2018,3,1,3,0,0,0,0,0,0,0,0,0,60
16,13,7,2019,3,1,3,0,0,0,0,0,0,0,0,3,57
16.5,8,2,2017,3,1,3,0,0,0,0,0,0,0,0,4,19
16.75,8,2,2017,3,1,3,0,0,0,0,0,0,0,0,2,93
16.75,9,2,2017,3,1,3,0,0,0,0,0,0,0,0,2,31
16.75,10,2,2017,3,1,3,0,0,0,0,0,0,0,0,0,11
17,8,10,2017,3,1,3,0,0,0,0,0,0,0,0,0,4
18,2,1,2004,1,1,1,0,0,0,1,0,0,1,0,0,120
18,3,1,2010,1,1,1,1,0,0,1,0,0,1,0,0,72
18,3,2,2010,1,1,1,0,0,0,1,0,0,1,0,0,27
18,3,2,2010,1,1,1,1,0,0,1,0,0,1,0,0,72
18,5,4,2012,3,2,1,0,1,0,0,0,0,1,0,2,31
18,8,2,2017,3,1,3,0,0,0,0,0,0,0,0,0,65
18,8,10,2017,3,1,3,0,0,0,0,0,0,0,0,0,7
18,13,7,2019,3,1,3,0,0,0,0,0,0,0,0,10,144
18.5,8,2,2017,3,1,3,0,0,0,0,0,0,0,0,3,255
18.5,8,10,2017,3,1,3,0,0,0,0,0,0,0,0,0,8
18.75,8,2,2017,3,1,3,0,0,0,0,0,0,0,0,12,60
18.75,9,2,2017,3,1,3,0,0,0,0,0,0,0,0,0,40
20,1,1,2003,1,1,1,0,0,0,1,0,0,1,0,8,60
20,2,1,2004,1,1,1,0,0,0,1,0,0,1,0,3,316
20,3,1,2010,1,1,1,1,0,0,1,0,0,1,0,0,211
20,3,2,2010,1,1,1,0,0,0,1,0,0,1,0,0,20
20,5,4,2012,3,2,1,0,1,0,0,0,0,1,0,1,11
20,6,1,2013,3,2,1,0,1,0,0,0,0,1,0,0,4
20,6,1,2013,4,2,1,0,1,0,0,0,1,1,0,0,4
20,6,1,2013,4,3,1,0,0,1,0,0,1,1,0,0,4
20,8,2,2017,3,1,3,0,0,0,0,0,0,0,0,0,121
20,8,10,2017,3,1,3,0,0,0,0,0,0,0,0,0,13
20,13,7,2019,3,1,3,0,0,0,0,0,0,0,0,1,144
20.5,8,2,2017,3,1,3,0,0,0,0,0,0,0,0,0,127
20.75,8,2,2017,3,1,3,0,0,0,0,0,0,0,0,8,64
21,9,2,2017,3,1,3,0,0,0,0,0,0,0,0,0,27
22,1,1,2003,1,1,1,0,0,0,1,0,0,1,0,1,25
22,2,1,2004,1,1,1,0,0,0,1,0,0,1,0,0,454
22,3,1,2010,1,1,1,1,0,0,1,0,0,1,0,0,344
22,3,3,2010,1,1,1,0,0,0,1,0,0,1,0,0,13
22,6,1,2013,3,2,1,0,1,0,0,0,0,1,0,0,4
22,6,1,2013,4,2,1,0,1,0,0,0,1,1,0,0,4
22,6,1,2013,4,3,1,0,0,1,0,0,1,1,0,0,4
22,8,2,2017,3,1,3,0,0,0,0,0,0,0,0,0,68
22,8,10,2017,3,1,3,0,0,0,0,0,0,0,0,0,6
22,13,7,2019,3,1,3,0,0,0,0,0,0,0,0,1,216
22.75,8,2,2017,3,1,3,0,0,0,0,0,0,0,0,1,114
22.75,9,2,2017,3,1,3,0,0,0,0,0,0,0,0,0,27
22.75,10,2,2017,3,1,3,0,0,0,0,0,0,0,0,0,16
24,2,1,2004,1,1,1,0,0,0,1,0,0,1,0,0,52
24,3,1,2010,1,1,1,1,0,0,1,0,0,1,0,0,278
24,3,3,2010,1,1,1,0,0,0,1,0,0,1,0,0,7
24,5,4,2012,3,2,1,0,1,0,0,0,0,1,0,0,32
24,7,1,2013,3,2,1,0,1,0,0,0,0,1,0,0,8
24,7,1,2013,4,2,1,0,1,0,0,0,1,1,0,0,8
24,7,1,2013,4,3,1,0,0,1,0,0,1,1,0,0,7
24,8,2,2017,3,1,3,0,0,0,0,0,0,0,0,0,58
24,8,10,2017,3,1,3,0,0,0,0,0,0,0,0,0,3
24.75,8,2,2017,3,1,3,0,0,0,0,0,0,0,0,0,126
25,9,2,2017,3,1,3,0,0,0,0,0,0,0,0,0,2
25,11,3,2018,3,1,3,0,0,0,0,0,0,0,0,0,1
25,12,10,2018,3,1,3,0,0,0,0,0,0,0,0,0,1
25.75,12,10,2018,3,1,3,0,0,0,0,0,0,0,0,0,1
26,2,1,2004,1,1,1,0,0,0,1,0,0,1,0,0,1
26,3,3,2010,1,1,1,0,0,0,1,0,0,1,0,0,7
26,5,4,2012,3,2,1,0,1,0,0,0,0,1,0,0,11
26,7,1,2013,3,2,1,0,1,0,0,0,0,1,0,0,7
26,7,1,2013,4,2,1,0,1,0,0,0,1,1,0,0,8
26,7,1,2013,4,3,1,0,0,1,0,0,1,1,0,0,8
26,8,2,2017,3,1,3,0,0,0,0,0,0,0,0,0,13
26.5,10,10,2017,3,1,3,0,0,0,0,0,0,0,0,0,18
26.5,11,10,2018,3,1,3,0,0,0,0,0,0,0,0,0,14
26.75,10,2,2017,3,1,3,0,0,0,0,0,0,0,0,0,18
26.75,11,2,2018,3,1,3,0,0,0,0,0,0,0,0,0,18
27,11,10,2018,3,1,3,0,0,0,0,0,0,0,0,0,2
27.25,9,2,2017,3,1,3,0,0,0,0,0,0,0,0,0,9
27.25,10,2,2017,3,1,3,0,0,0,0,0,0,0,0,0,2
27.25,11,3,2018,3,1,3,0,0,0,0,0,0,0,0,0,1
27.75,12,10,2018,3,1,3,0,0,0,0,0,0,0,0,0,9
28,2,1,2004,1,1,1,0,0,0,1,0,0,1,0,0,1
28,5,4,2012,3,2,1,0,1,0,0,0,0,1,0,0,5
28,6,1,2013,3,2,1,0,1,0,0,0,0,1,0,0,4
28,6,1,2013,4,2,1,0,1,0,0,0,1,1,0,0,4
28,6,1,2013,4,3,1,0,0,1,0,0,1,1,0,0,4
28,8,2,2017,3,1,3,0,0,0,0,0,0,0,0,0,6
28,8,3,2017,3,1,3,0,0,0,0,0,0,0,0,0,5
28,8,10,2017,3,1,3,0,0,0,0,0,0,0,0,0,16
28.5,10,10,2017,3,1,3,0,0,0,0,0,0,0,0,0,18
28.5,11,10,2018,3,1,3,0,0,0,0,0,0,0,0,0,6
28.75,12,10,2018,3,1,3,0,0,0,0,0,0,0,0,0,2
29,10,2,2017,3,1,3,0,0,0,0,0,0,0,0,2,18
29,11,2,2018,3,1,3,0,0,0,0,0,0,0,0,0,18
29,11,10,2018,3,1,3,0,0,0,0,0,0,0,0,1,18
29,12,10,2018,3,1,3,0,0,0,0,0,0,0,0,0,16
29.5,12,10,2018,3,1,3,0,0,0,0,0,0,0,0,2,18
30,8,2,2017,3,1,3,0,0,0,0,0,0,0,0,0,39
30,8,10,2017,3,1,3,0,0,0,0,0,0,0,0,0,17
31,11,2,2018,3,1,3,0,0,0,0,0,0,0,0,0,18
31,11,10,2018,3,1,3,0,0,0,0,0,0,0,0,0,14
31.25,12,10,2018,3,1,3,0,0,0,0,0,0,0,0,0,4
32,8,2,2017,3,1,3,0,0,0,0,0,0,0,0,0,26
32,8,10,2017,3,1,3,0,0,0,0,0,0,0,0,0,2
32,10,2,2017,3,1,3,0,0,0,0,0,0,0,0,0,1
32,11,1,2018,3,1,3,0,0,0,0,0,0,0,0,0,1
32,11,2,2018,3,1,3,0,0,0,0,0,0,0,0,0,1
32.25,11,1,2018,3,1,3,0,0,0,0,0,0,0,0,0,1
33,11,2,2018,3,1,3,0,0,0,0,0,0,0,0,0,18
33,11,10,2018,3,1,3,0,0,0,0,0,0,0,0,0,4
34,8,2,2017,3,1,3,0,0,0,0,0,0,0,0,0,3
34,8,10,2017,3,1,3,0,0,0,0,0,0,0,0,0,2
35,9,2,2017,3,1,3,0,0,0,0,0,0,0,0,0,12
35,10,2,2017,3,1,3,0,0,0,0,0,0,0,0,0,12
36,8,3,2017,3,1,3,0,0,0,0,0,0,0,0,0,1
